Invoice No.,Category,Item Name,Final Total,Qty.,Time of day
21442,SEASONAL MENU,Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS),210,1,Night
21441,Cold Coffee,Origanal South Indian Frappe (350 ML),315,1,Night
21440,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21440,Hot Chocolate,Hot Chocolate (250 ML),295.71,1,Night
21440,Food Menu,Baked Vada Pav,87.61,1,Night
21439,Hot Coffee,South Indian Filter Kaapi (250 Ml),172,1,Night
C2375,Sweet,Papparoti (Add On Nutella sauce),233.33,1,Night
21438,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Night
21437,Cold Coffee,Vietnamese (350 Ml),314.75,1,Night
21436,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21436,Extra Toppings,Add On Syrup (Add On Irish Syrup),54.76,1,Night
21436,Hot Coffee,South Indian Filter Kaapi (250 ML),202.61,1,Night
21436,SEASONAL MENU,Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),164.29,1,Night
21436,SEASONAL MENU,Strawbery Rosella Frangipani Tart,54.76,1,Night
21435,Cold Coffee,Classic Frappe (350 ML),301.19,1,Night
21435,JUICES,ORANGE JUICE,328.56,1,Night
C2374,Food Menu,Hyderabadi Chicken Keema Pav,76.19,1,Night
C2373,Hot Coffee,South Indian Filter Kaapi (150 ML),138.1,1,Night
21434,Hot Chocolate,Madagascar Hot Chocolate (250 ML),328.56,1,Night
21434,Hot Coffee,Cafe Latte (250 ML),246.44,1,Night
21434,Sweet,Choco-crinkle-cookies (COMBO 3 PCS),76.68,1,Night
21433,Food Menu,Chicken Calzone,140,2,Night
21433,Food Menu,Hyderabadi Chicken Keema Pav,160,2,Night
21432,Hot Coffee,Sea Salt Dark Mocha (250 ML),301.19,1,Night
21431,Hot Coffee,South Indian Filter Kaapi (150 ML),306.68,2,Night
21431,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Night
21430,Hot Coffee,South Indian Filter Kaapi (150 ML),306.68,2,Night
21430,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Night
21429,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Night
21429,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21428,Food Menu,Calzones Veg (Calzone Veg),76.68,1,Evening
21428,Cold Coffee,Iced Latte (350 ML),246.44,1,Evening
21428,Milk,OAT MILK (200 ML),82.15,1,Evening
21428,Cold Coffee,Bon Bon (350 ML),334.05,1,Evening
21428,Food Menu,Calzones Veg (Calzone Veg),76.68,1,Evening
21427,Hot Coffee,South Indian Filter Kaapi (150 ML),145,1,Evening
21427,Cold Coffee,Iced Latte (350 ML),235.01,1,Evening
C2372,Cold Coffee,Vietnamese (350 ML),290.48,1,Evening
C2371,Food Menu,Chicken Calzone,66.67,1,Evening
C2371,Food Menu,Baked Vada Pav,76.19,1,Evening
21426,Hot Chocolate,Hot Chocolate (250 ML),295.71,1,Evening
21426,Cold Coffee,Iced Americano (350 ML),202.61,1,Evening
21425,Manual Brew,Cold Brew,315,1,Evening
21424,Hot Coffee,South Indian Filter Kaapi (150 ML),460,3,Evening
21424,Food Menu,Baked Vada Pav,87.61,1,Evening
21424,Food Menu,Chicken Calzone,76.68,1,Evening
21424,Food Menu,Calzones Veg (Calzone Veg),76.68,1,Evening
21424,Food Menu,Spicy Banana Chips 60 Gm,131.43,2,Evening
21423,Cold Coffee,Iced Latte (350 ML),492.85,2,Evening
21423,Milk,ALMOND MILK (200 ML),98.56,1,Evening
21423,Milk,OAT MILK (200 ML),82.15,1,Evening
21423,Food Menu,Berliners (Nutella Berliner),76.68,1,Evening
